name	lane_name	lane_file	kmer	barcode_file
Ints11C_replicate1	2143F1	2143F1-1_190822_D00404_0441_BCDR7LANXX_Undetermined_L008_R1_001.fastq.gz	NNNN	barcodes_2143F1.fasta
Ints11C_replicate2	2143F1	2143F1-1_190822_D00404_0441_BCDR7LANXX_Undetermined_L008_R1_001.fastq.gz	NNNN	barcodes_2143F1.fasta
N4BP2C_replicate1	2143F1	2143F1-1_190822_D00404_0441_BCDR7LANXX_Undetermined_L008_R1_001.fastq.gz	NNNN	barcodes_2143F1.fasta
N4BP2C_replicate2	2143F1	2143F1-1_190822_D00404_0441_BCDR7LANXX_Undetermined_L008_R1_001.fastq.gz	NNNN	barcodes_2143F1.fasta
RBC_replicate1	2143F1	2143F1-1_190822_D00404_0441_BCDR7LANXX_Undetermined_L008_R1_001.fastq.gz	NNNN	barcodes_2143F1.fasta
Xrn1_replicate1	2143F1	2143F1-1_190822_D00404_0441_BCDR7LANXX_Undetermined_L008_R1_001.fastq.gz	NNNN	barcodes_2143F1.fasta
Ints11C_replicate3	2161F1	2161F1-1_190924_D00404_0445_BCDY9VANXX_Undetermined_L005_R1_001.fastq.gz	NNNN	barcodes_2161F1.fasta
Ints11C_replicate4	2161F1	2161F1-1_190924_D00404_0445_BCDY9VANXX_Undetermined_L005_R1_001.fastq.gz	NNNN	barcodes_2161F1.fasta
N4BP2C_replicate3	2161F1	2161F1-1_190924_D00404_0445_BCDY9VANXX_Undetermined_L005_R1_001.fastq.gz	NNNN	barcodes_2161F1.fasta
N4BP2C_replicate4	2161F1	2161F1-1_190924_D00404_0445_BCDY9VANXX_Undetermined_L005_R1_001.fastq.gz	NNNN	barcodes_2161F1.fasta
N4BP2C_replicate5	2161F1	2161F1-1_190924_D00404_0445_BCDY9VANXX_Undetermined_L005_R1_001.fastq.gz	NNNN	barcodes_2161F1.fasta
N4BP2C_replicate6	2161F1	2161F1-1_190924_D00404_0445_BCDY9VANXX_Undetermined_L005_R1_001.fastq.gz	NNNN	barcodes_2161F1.fasta
Ints1N_replicate1	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints1N_replicate2	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints10C_replicate1	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints10C_replicate2	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints10N_replicate1	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints10N_replicate2	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints11C_replicate5	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
Ints11C_replicate6	2533F1	2533F1-1_200814_D00404_0489_ACECNWANXX_Undetermined_L006_R1_001.merged.fastq.gz	NNNN	barcodes_2533F1.fasta
